uni1B234	 𛈴 	NUSHU CHARACTER-1B234
uni1B235	 𛈵 	NUSHU CHARACTER-1B235
uni1B236	 𛈶 	NUSHU CHARACTER-1B236
uni1B237	 𛈷 	NUSHU CHARACTER-1B237
uni1B238	 𛈸 	NUSHU CHARACTER-1B238
uni1B239	 𛈹 	NUSHU CHARACTER-1B239
uni1B23A	 𛈺 	NUSHU CHARACTER-1B23A
uni1B23B	 𛈻 	NUSHU CHARACTER-1B23B
uni1B23C	 𛈼 	NUSHU CHARACTER-1B23C
uni1B23D	 𛈽 	NUSHU CHARACTER-1B23D
uni1B23E	 𛈾 	NUSHU CHARACTER-1B23E
uni1B23F	 𛈿 	NUSHU CHARACTER-1B23F
uni1B240	 𛉀 	NUSHU CHARACTER-1B240
uni1B241	 𛉁 	NUSHU CHARACTER-1B241
uni1B242	 𛉂 	NUSHU CHARACTER-1B242
uni1B243	 𛉃 	NUSHU CHARACTER-1B243
uni1B244	 𛉄 	NUSHU CHARACTER-1B244
uni1B245	 𛉅 	NUSHU CHARACTER-1B245
uni1B246	 𛉆 	NUSHU CHARACTER-1B246
uni1B247	 𛉇 	NUSHU CHARACTER-1B247
uni1B248	 𛉈 	NUSHU CHARACTER-1B248
uni1B249	 𛉉 	NUSHU CHARACTER-1B249
uni1B24A	 𛉊 	NUSHU CHARACTER-1B24A
uni1B24B	 𛉋 	NUSHU CHARACTER-1B24B
uni1B24C	 𛉌 	NUSHU CHARACTER-1B24C
uni1B24D	 𛉍 	NUSHU CHARACTER-1B24D
uni1B24E	 𛉎 	NUSHU CHARACTER-1B24E
uni1B24F	 𛉏 	NUSHU CHARACTER-1B24F
uni1B250	 𛉐 	NUSHU CHARACTER-1B250
uni1B251	 𛉑 	NUSHU CHARACTER-1B251
uni1B252	 𛉒 	NUSHU CHARACTER-1B252
uni1B253	 𛉓 	NUSHU CHARACTER-1B253
uni1B254	 𛉔 	NUSHU CHARACTER-1B254
uni1B255	 𛉕 	NUSHU CHARACTER-1B255
uni1B256	 𛉖 	NUSHU CHARACTER-1B256
uni1B257	 𛉗 	NUSHU CHARACTER-1B257
uni1B258	 𛉘 	NUSHU CHARACTER-1B258
uni1B259	 𛉙 	NUSHU CHARACTER-1B259
uni1B25A	 𛉚 	NUSHU CHARACTER-1B25A
uni1B25B	 𛉛 	NUSHU CHARACTER-1B25B
uni1B25C	 𛉜 	NUSHU CHARACTER-1B25C
uni1B25D	 𛉝 	NUSHU CHARACTER-1B25D
uni1B25E	 𛉞 	NUSHU CHARACTER-1B25E
uni1B25F	 𛉟 	NUSHU CHARACTER-1B25F
uni1B260	 𛉠 	NUSHU CHARACTER-1B260
uni1B261	 𛉡 	NUSHU CHARACTER-1B261
uni1B262	 𛉢 	NUSHU CHARACTER-1B262
uni1B263	 𛉣 	NUSHU CHARACTER-1B263
uni1B264	 𛉤 	NUSHU CHARACTER-1B264
uni1B265	 𛉥 	NUSHU CHARACTER-1B265
uni1B266	 𛉦 	NUSHU CHARACTER-1B266
uni1B267	 𛉧 	NUSHU CHARACTER-1B267
uni1B268	 𛉨 	NUSHU CHARACTER-1B268
uni1B269	 𛉩 	NUSHU CHARACTER-1B269
uni1B26A	 𛉪 	NUSHU CHARACTER-1B26A
uni1B26B	 𛉫 	NUSHU CHARACTER-1B26B
uni1B26C	 𛉬 	NUSHU CHARACTER-1B26C
uni1B26D	 𛉭 	NUSHU CHARACTER-1B26D
uni1B26E	 𛉮 	NUSHU CHARACTER-1B26E
uni1B26F	 𛉯 	NUSHU CHARACTER-1B26F
uni1B270	 𛉰 	NUSHU CHARACTER-1B270
uni1B271	 𛉱 	NUSHU CHARACTER-1B271
uni1B272	 𛉲 	NUSHU CHARACTER-1B272
uni1B273	 𛉳 	NUSHU CHARACTER-1B273
uni1B274	 𛉴 	NUSHU CHARACTER-1B274
uni1B275	 𛉵 	NUSHU CHARACTER-1B275
uni1B276	 𛉶 	NUSHU CHARACTER-1B276
uni1B277	 𛉷 	NUSHU CHARACTER-1B277
uni1B278	 𛉸 	NUSHU CHARACTER-1B278
uni1B279	 𛉹 	NUSHU CHARACTER-1B279
uni1B27A	 𛉺 	NUSHU CHARACTER-1B27A
uni1B27B	 𛉻 	NUSHU CHARACTER-1B27B
uni1B27C	 𛉼 	NUSHU CHARACTER-1B27C
uni1B27D	 𛉽 	NUSHU CHARACTER-1B27D
uni1B27E	 𛉾 	NUSHU CHARACTER-1B27E
uni1B27F	 𛉿 	NUSHU CHARACTER-1B27F
uni1B280	 𛊀 	NUSHU CHARACTER-1B280
uni1B281	 𛊁 	NUSHU CHARACTER-1B281
uni1B282	 𛊂 	NUSHU CHARACTER-1B282
uni1B283	 𛊃 	NUSHU CHARACTER-1B283
uni1B284	 𛊄 	NUSHU CHARACTER-1B284
uni1B285	 𛊅 	NUSHU CHARACTER-1B285
uni1B286	 𛊆 	NUSHU CHARACTER-1B286
uni1B287	 𛊇 	NUSHU CHARACTER-1B287
uni1B288	 𛊈 	NUSHU CHARACTER-1B288
uni1B289	 𛊉 	NUSHU CHARACTER-1B289
uni1B28A	 𛊊 	NUSHU CHARACTER-1B28A
uni1B28B	 𛊋 	NUSHU CHARACTER-1B28B
uni1B28C	 𛊌 	NUSHU CHARACTER-1B28C
uni1B28D	 𛊍 	NUSHU CHARACTER-1B28D
uni1B28E	 𛊎 	NUSHU CHARACTER-1B28E
uni1B28F	 𛊏 	NUSHU CHARACTER-1B28F
uni1B290	 𛊐 	NUSHU CHARACTER-1B290
uni1B291	 𛊑 	NUSHU CHARACTER-1B291
uni1B292	 𛊒 	NUSHU CHARACTER-1B292
uni1B293	 𛊓 	NUSHU CHARACTER-1B293
uni1B294	 𛊔 	NUSHU CHARACTER-1B294
uni1B295	 𛊕 	NUSHU CHARACTER-1B295
uni1B296	 𛊖 	NUSHU CHARACTER-1B296
uni1B297	 𛊗 	NUSHU CHARACTER-1B297
uni1B298	 𛊘 	NUSHU CHARACTER-1B298
uni1B299	 𛊙 	NUSHU CHARACTER-1B299
uni1B29A	 𛊚 	NUSHU CHARACTER-1B29A
uni1B29B	 𛊛 	NUSHU CHARACTER-1B29B
uni1B29C	 𛊜 	NUSHU CHARACTER-1B29C
uni1B29D	 𛊝 	NUSHU CHARACTER-1B29D
uni1B29E	 𛊞 	NUSHU CHARACTER-1B29E
uni1B29F	 𛊟 	NUSHU CHARACTER-1B29F
uni1B2A0	 𛊠 	NUSHU CHARACTER-1B2A0
uni1B2A1	 𛊡 	NUSHU CHARACTER-1B2A1
uni1B2A2	 𛊢 	NUSHU CHARACTER-1B2A2
uni1B2A3	 𛊣 	NUSHU CHARACTER-1B2A3
uni1B2A4	 𛊤 	NUSHU CHARACTER-1B2A4
uni1B2A5	 𛊥 	NUSHU CHARACTER-1B2A5
uni1B2A6	 𛊦 	NUSHU CHARACTER-1B2A6
uni1B2A7	 𛊧 	NUSHU CHARACTER-1B2A7
uni1B2A8	 𛊨 	NUSHU CHARACTER-1B2A8
uni1B2A9	 𛊩 	NUSHU CHARACTER-1B2A9
uni1B2AA	 𛊪 	NUSHU CHARACTER-1B2AA
uni1B2AB	 𛊫 	NUSHU CHARACTER-1B2AB
uni1B2AC	 𛊬 	NUSHU CHARACTER-1B2AC
uni1B2AD	 𛊭 	NUSHU CHARACTER-1B2AD
uni1B2AE	 𛊮 	NUSHU CHARACTER-1B2AE
uni1B2AF	 𛊯 	NUSHU CHARACTER-1B2AF
uni1B2B0	 𛊰 	NUSHU CHARACTER-1B2B0
uni1B2B1	 𛊱 	NUSHU CHARACTER-1B2B1
uni1B2B2	 𛊲 	NUSHU CHARACTER-1B2B2
uni1B2B3	 𛊳 	NUSHU CHARACTER-1B2B3
uni1B2B4	 𛊴 	NUSHU CHARACTER-1B2B4
